ColonyID,Species,Phenotype,Sample,Timepoint,Diameter,Height,Without_wax_weight_g,With_wax_weight_g,Notes
210,Montipora capitata,Resistant,Coral,October_2024,NA,NA,6.0597,7.0884,
211,Montipora capitata,Susceptible,Coral,October_2024,NA,NA,6.7787,7.8706,
213,Montipora capitata,Susceptible,Coral,October_2024,NA,NA,1.7448,2.1297,
214,Montipora capitata,Resistant,Coral,October_2024,NA,NA,3.128,3.7348,
219,Montipora capitata,Susceptible,Coral,October_2024,NA,NA,4.564,5.4802,
220,Montipora capitata,Resistant,Coral,October_2024,NA,NA,2.962,3.4617,
221,Montipora capitata,Susceptible,Coral,October_2024,NA,NA,6.709,8.1361,May be an overestimation
225,Porites compressa,Susceptible,Coral,October_2024,NA,NA,3.6632,4.0133,
226,Porites compressa,Resistant,Coral,October_2024,NA,NA,7.5408,8.2515,
233,Porites compressa,Susceptible,Coral,October_2024,NA,NA,4.1879,4.5387,
234,Porites compressa,Resistant,Coral,October_2024,NA,NA,3.9883,4.3867,
235,Porites compressa,Susceptible,Coral,October_2024,NA,NA,5.2037,5.6443,
236,Porites compressa,Resistant,Coral,October_2024,NA,NA,3.5941,3.9309,
237,Porites compressa,Susceptible,Coral,October_2024,NA,NA,3.7849,4.2897,
238,Porites compressa,Resistant,Coral,October_2024,NA,NA,4.0128,4.5805,
239,Porites compressa,Susceptible,Coral,October_2024,NA,NA,6.5392,7.2847,
240,Porites compressa,Resistant,Coral,October_2024,NA,NA,5.5888,6.1386,
241,Porites compressa,Susceptible,Coral,October_2024,NA,NA,4.8257,5.2982,
242,Porites compressa,Resistant,Coral,October_2024,NA,NA,4.2634,4.8541,
243,Porites compressa,Susceptible,Coral,October_2024,NA,NA,8.2341,8.9555,
244,Porites compressa,Resistant,Coral,October_2024,NA,NA,9.8881,10.6889,
247,Porites compressa,Susceptible,Coral,October_2024,NA,NA,3.8102,4.2292,
248,Porites compressa,Resistant,Coral,October_2024,NA,NA,8.0724,8.8781,
