ColonyID,Species,Phenotype,Date,Score
43,Porites compressa,Bleach,9/16/2019,1
44,Porites compressa,Non-bleach,9/16/2019,2
45,Porites compressa,Bleach,9/16/2019,2
46,Porites compressa,Non-bleach,9/16/2019,2
201,Montipora capitata,Bleach,9/16/2019,4
202,Montipora capitata,Non-bleach,9/16/2019,2
203,Montipora capitata,Bleach,9/16/2019,3
204,Montipora capitata,Non-bleach,9/16/2019,1
209,Montipora capitata,Bleach,9/16/2019,5
210,Montipora capitata,Non-bleach,9/16/2019,2
211,Montipora capitata,Bleach,9/16/2019,5
212,Montipora capitata,Non-bleach,9/16/2019,1
217,Montipora capitata,Bleach,9/16/2019,3
218,Montipora capitata,Non-bleach,9/16/2019,1
219,Montipora capitata,Bleach,9/16/2019,4
220,Montipora capitata,Non-bleach,9/16/2019,1
221,Montipora capitata,Bleach,9/16/2019,4
222,Montipora capitata,Non-bleach,9/16/2019,3
229,Porites compressa,Bleach,9/16/2019,3
230,Porites compressa,Non-bleach,9/16/2019,2
237,Porites compressa,Bleach,9/16/2019,2
238,Porites compressa,Non-bleach,9/16/2019,1
239,Porites compressa,Bleach,9/16/2019,2
240,Porites compressa,Non-bleach,9/16/2019,1
243,Porites compressa,Bleach,9/16/2019,2
244,Porites compressa,Non-bleach,9/16/2019,1
247,Porites compressa,Bleach,9/16/2019,2
248,Porites compressa,Non-bleach,9/16/2019,1
3,Montipora capitata,Bleach,10/2/2019,4
4,Montipora capitata,Non-bleach,10/2/2019,2
11,Montipora capitata,Bleach,10/2/2019,3
12,Montipora capitata,Non-bleach,10/2/2019,1
19,Montipora capitata,Bleach,10/2/2019,3
20,Montipora capitata,Non-bleach,10/2/2019,1
26,Porites compressa,Non-bleach,10/2/2019,1
27,Porites compressa,Bleach,10/2/2019,2
35,Porites compressa,Bleach,10/2/2019,1
36,Porites compressa,Non-bleach,10/2/2019,1
41,Porites compressa,Bleach,10/2/2019,2
42,Porites compressa,Non-bleach,10/2/2019,1
43,Porites compressa,Bleach,10/2/2019,1
44,Porites compressa,Non-bleach,10/2/2019,5
45,Porites compressa,Bleach,10/2/2019,2
46,Porites compressa,Non-bleach,10/2/2019,1
201,Montipora capitata,Bleach,10/2/2019,4
202,Montipora capitata,Non-bleach,10/2/2019,1
203,Montipora capitata,Bleach,10/2/2019,3
204,Montipora capitata,Non-bleach,10/2/2019,1
209,Montipora capitata,Bleach,10/2/2019,4
210,Montipora capitata,Non-bleach,10/2/2019,2
211,Montipora capitata,Bleach,10/2/2019,5
212,Montipora capitata,Non-bleach,10/2/2019,1
217,Montipora capitata,Bleach,10/2/2019,3
218,Montipora capitata,Non-bleach,10/2/2019,2
219,Montipora capitata,Bleach,10/2/2019,4
220,Montipora capitata,Non-bleach,10/2/2019,1
221,Montipora capitata,Bleach,10/2/2019,3
222,Montipora capitata,Non-bleach,10/2/2019,1
229,Porites compressa,Bleach,10/2/2019,3
230,Porites compressa,Non-bleach,10/2/2019,2
237,Porites compressa,Bleach,10/2/2019,2
238,Porites compressa,Non-bleach,10/2/2019,1
239,Porites compressa,Bleach,10/2/2019,2
240,Porites compressa,Non-bleach,10/2/2019,1
243,Porites compressa,Bleach,10/2/2019,4
244,Porites compressa,Non-bleach,10/2/2019,1
247,Porites compressa,Bleach,10/2/2019,1
248,Porites compressa,Non-bleach,10/2/2019,1
3,Montipora capitata,Bleach,10/16/2019,3
4,Montipora capitata,Non-bleach,10/16/2019,1
11,Montipora capitata,Bleach,10/16/2019,2
12,Montipora capitata,Non-bleach,10/16/2019,2
19,Montipora capitata,Bleach,10/16/2019,3
20,Montipora capitata,Non-bleach,10/16/2019,1
26,Porites compressa,Non-bleach,10/16/2019,1
27,Porites compressa,Bleach,10/16/2019,1
35,Porites compressa,Bleach,10/16/2019,2
36,Porites compressa,Non-bleach,10/16/2019,1
41,Porites compressa,Bleach,10/16/2019,1
42,Porites compressa,Non-bleach,10/16/2019,1
43,Porites compressa,Bleach,10/16/2019,1
44,Porites compressa,Non-bleach,10/16/2019,4
45,Porites compressa,Bleach,10/16/2019,2
46,Porites compressa,Non-bleach,10/16/2019,1
201,Montipora capitata,Bleach,10/16/2019,3
202,Montipora capitata,Non-bleach,10/16/2019,1
203,Montipora capitata,Bleach,10/16/2019,2
204,Montipora capitata,Non-bleach,10/16/2019,1
209,Montipora capitata,Bleach,10/16/2019,3
210,Montipora capitata,Non-bleach,10/16/2019,1
211,Montipora capitata,Bleach,10/16/2019,2
212,Montipora capitata,Non-bleach,10/16/2019,1
217,Montipora capitata,Bleach,10/16/2019,1
218,Montipora capitata,Non-bleach,10/16/2019,1
219,Montipora capitata,Bleach,10/16/2019,2
220,Montipora capitata,Non-bleach,10/16/2019,1
221,Montipora capitata,Bleach,10/16/2019,3
222,Montipora capitata,Non-bleach,10/16/2019,1
229,Porites compressa,Bleach,10/16/2019,2
230,Porites compressa,Non-bleach,10/16/2019,1
237,Porites compressa,Bleach,10/16/2019,2
238,Porites compressa,Non-bleach,10/16/2019,1
239,Porites compressa,Bleach,10/16/2019,1
240,Porites compressa,Non-bleach,10/16/2019,1
243,Porites compressa,Bleach,10/16/2019,5
244,Porites compressa,Non-bleach,10/16/2019,1
247,Porites compressa,Bleach,10/16/2019,1
248,Porites compressa,Non-bleach,10/16/2019,1
3,Montipora capitata,Bleach,10/30/2019,2
4,Montipora capitata,Non-bleach,10/30/2019,1
11,Montipora capitata,Bleach,10/30/2019,2
12,Montipora capitata,Non-bleach,10/30/2019,1
19,Montipora capitata,Bleach,10/30/2019,3
20,Montipora capitata,Non-bleach,10/30/2019,2
26,Porites compressa,Non-bleach,10/30/2019,2
27,Porites compressa,Bleach,10/30/2019,1
35,Porites compressa,Bleach,10/30/2019,2
36,Porites compressa,Non-bleach,10/30/2019,1
41,Porites compressa,Bleach,10/30/2019,1
42,Porites compressa,Non-bleach,10/30/2019,1
43,Porites compressa,Bleach,10/30/2019,1
44,Porites compressa,Non-bleach,10/30/2019,3
45,Porites compressa,Bleach,10/30/2019,2
46,Porites compressa,Non-bleach,10/30/2019,1
201,Montipora capitata,Bleach,10/30/2019,3
202,Montipora capitata,Non-bleach,10/30/2019,1
203,Montipora capitata,Bleach,10/30/2019,2
204,Montipora capitata,Non-bleach,10/30/2019,1
209,Montipora capitata,Bleach,10/30/2019,3
210,Montipora capitata,Non-bleach,10/30/2019,2
211,Montipora capitata,Bleach,10/30/2019,3
212,Montipora capitata,Non-bleach,10/30/2019,1
217,Montipora capitata,Bleach,10/30/2019,1
218,Montipora capitata,Non-bleach,10/30/2019,2
219,Montipora capitata,Bleach,10/30/2019,3
220,Montipora capitata,Non-bleach,10/30/2019,1
221,Montipora capitata,Bleach,10/30/2019,3
222,Montipora capitata,Non-bleach,10/30/2019,1
229,Porites compressa,Bleach,10/30/2019,1
230,Porites compressa,Non-bleach,10/30/2019,1
237,Porites compressa,Bleach,10/30/2019,2
238,Porites compressa,Non-bleach,10/30/2019,1
239,Porites compressa,Bleach,10/30/2019,2
240,Porites compressa,Non-bleach,10/30/2019,1
243,Porites compressa,Bleach,10/30/2019,1
244,Porites compressa,Non-bleach,10/30/2019,2
247,Porites compressa,Bleach,10/30/2019,1
248,Porites compressa,Non-bleach,10/30/2019,1
3,Montipora capitata,Bleach,1/24/2020,2
4,Montipora capitata,Non-bleach,1/24/2020,1
11,Montipora capitata,Bleach,1/24/2020,2
12,Montipora capitata,Non-bleach,1/24/2020,1
19,Montipora capitata,Bleach,1/24/2020,1
20,Montipora capitata,Non-bleach,1/24/2020,1
26,Porites compressa,Non-bleach,1/24/2020,1
27,Porites compressa,Bleach,1/24/2020,1
35,Porites compressa,Bleach,1/24/2020,1
36,Porites compressa,Non-bleach,1/24/2020,1
41,Porites compressa,Bleach,1/24/2020,1
42,Porites compressa,Non-bleach,1/24/2020,1
43,Porites compressa,Bleach,1/24/2020,1
44,Porites compressa,Non-bleach,1/24/2020,1
45,Porites compressa,Bleach,1/24/2020,2
46,Porites compressa,Non-bleach,1/24/2020,1
201,Montipora capitata,Bleach,1/24/2020,1
202,Montipora capitata,Non-bleach,1/24/2020,1
203,Montipora capitata,Bleach,1/24/2020,1
204,Montipora capitata,Non-bleach,1/24/2020,1
209,Montipora capitata,Bleach,1/24/2020,2
210,Montipora capitata,Non-bleach,1/24/2020,1
211,Montipora capitata,Bleach,1/24/2020,1
212,Montipora capitata,Non-bleach,1/24/2020,1
217,Montipora capitata,Bleach,1/24/2020,1
218,Montipora capitata,Non-bleach,1/24/2020,1
219,Montipora capitata,Bleach,1/24/2020,1
220,Montipora capitata,Non-bleach,1/24/2020,1
221,Montipora capitata,Bleach,1/24/2020,2
222,Montipora capitata,Non-bleach,1/24/2020,1
229,Porites compressa,Bleach,1/24/2020,2
230,Porites compressa,Non-bleach,1/24/2020,1
237,Porites compressa,Bleach,1/24/2020,1
238,Porites compressa,Non-bleach,1/24/2020,1
239,Porites compressa,Bleach,1/24/2020,2
240,Porites compressa,Non-bleach,1/24/2020,1
243,Porites compressa,Bleach,1/24/2020,1
244,Porites compressa,Non-bleach,1/24/2020,2
247,Porites compressa,Bleach,1/24/2020,1
248,Porites compressa,Non-bleach,1/24/2020,1
3,Montipora capitata,Bleach,8/27/2020,3
4,Montipora capitata,Non-bleach,8/27/2020,1
11,Montipora capitata,Bleach,8/27/2020,3
12,Montipora capitata,Non-bleach,8/27/2020,1
19,Montipora capitata,Bleach,8/27/2020,4
