"","Date.x","Project.x","Colony_ID","Light","Time_start","Time_end","Chamber","Zub","Run","Sample_Volume_mL","Starting_alk_value","Alk_avg","Temperature_C","Notes.x","start","end","elapsed_mins","elapsed_hours","Delta_TA_raw","Delta_TA_corr","Net_Calcification","Date.y","Project.y","Species","Phenotype","Surface_Area_cm2","Notes.y","Net_Calcification_cm2"
"64","2023-09-16","TCB ","41","Dark","16:15","16:47",6,18,7,235,2166.35,2166,28.04,NA,16H 15M 0S,16H 47M 0S,32,0.533333333333333,0.349999999999909,5.64999999999991,1.27961906249998,2023-09-16,"TCB","Porites compressa","Susceptible",37.29585063,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.0343099578340407
"65","2023-09-16","TCB ","44","Dark","16:16","16:47",7,19,7,238,2166.35,2167.2,28.04,NA,16H 16M 0S,16H 47M 0S,31,0.516666666666667,-0.849999999999909,4.45000000000009,1.05363367741938,2023-09-16,"TCB","Porites compressa","Resistant",18.08446534,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.0582618096587519
"66","2023-09-16","TCB ","3","Dark","16:16","16:47",8,20,7,240,2166.35,2185.35,28.04,NA,16H 16M 0S,16H 47M 0S,31,0.516666666666667,-19,-13.7,-3.27102967741935,2023-09-16,"TCB","Montipora capitata","Susceptible",18.10783262,"All SAs from group A from file group1_T0_20230912_mesh_measure",-0.180641700531654
"67","2023-09-16","TCB ","19","Dark","16:16","16:48",9,21,7,237,2166.35,2181.8,28.04,NA,16H 16M 0S,16H 48M 0S,32,0.533333333333333,-15.4500000000003,-10.1500000000003,-2.31834881250006,2023-09-16,"TCB","Montipora capitata","Susceptible",28.8298643,"All SAs from group A from file group1_T0_20230912_mesh_measure",-0.0804148361010517
"68","2023-09-17","TCB ","46","Dark","9:09","9:42",1,23,8,235,2165.55,2180.9,27.27,NA,9H 9M 0S,9H 42M 0S,33,0.55,-15.3499999999999,-10.0499999999999,-2.20716272727271,2023-09-17,"TCB","Porites compressa","Resistant",27.00664341,"All SAs from group A from file group1_T0_20230912_mesh_measure",-0.0817266586507911
"69","2023-09-17","TCB ","214","Dark","9:09","9:42",2,24,8,238,2165.55,2177.3,27.27,NA,9H 9M 0S,9H 42M 0S,33,0.55,-11.75,-6.45,-1.43462072727273,2023-09-17,"TCB","Montipora capitata","Resistant",23.67001062,"All SAs from group A from file group1_T0_20230912_mesh_measure",-0.0606092135024453
"70","2023-09-17","TCB ","243","Dark","9:09","9:42",3,25,8,236,2165.55,2156.5,27.27,NA,9H 9M 0S,9H 42M 0S,33,0.55,9.05000000000018,14.3500000000002,3.16493163636368,2023-09-17,"TCB","Porites compressa","Susceptible",26.76841462,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.118233809558486
"71","2023-09-17","TCB ","219","Dark","9:09","9:42",4,26,8,235,2165.55,2150.4,27.27,NA,9H 9M 0S,9H 42M 0S,33,0.55,15.1500000000001,20.4500000000001,4.49119181818184,2023-09-17,"TCB","Montipora capitata","Susceptible",34.05491212,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.131880881159115
"72","2023-09-17","TCB ","222","Dark","9:10","9:43",5,27,8,240,2165.55,2177.45,27.27,NA,9H 10M 0S,9H 43M 0S,33,0.55,-11.8999999999996,-6.59999999999964,-1.48031999999992,2023-09-17,"TCB","Montipora capitata","Resistant",17.96180056,"All SAs from group A from file group1_T0_20230912_mesh_measure",-0.0824149001685563
"73","2023-09-17","TCB ","45","Dark","9:10","9:43",6,28,8,236,2165.55,2166.35,27.27,NA,9H 10M 0S,9H 43M 0S,33,0.55,-0.799999999999727,4.50000000000027,0.992487272727333,2023-09-17,"TCB","Porites compressa","Susceptible",25.85918353,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.038380456659659
"74","2023-09-17","TCB ","213","Dark","9:10","9:43",7,29,8,236,2165.55,2168.1,27.27,NA,9H 10M 0S,9H 43M 0S,33,0.55,-2.54999999999973,2.75000000000027,0.60652000000006,2023-09-17,"TCB","Montipora capitata","Susceptible",28.02956805,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.0216385781942173
"75","2023-09-17","TCB ","244","Dark","9:10","9:43",8,30,8,239,2165.55,2183.25,27.27,NA,9H 10M 0S,9H 43M 0S,33,0.55,-17.6999999999998,-12.3999999999998,-2.76961890909087,2023-09-17,"TCB","Porites compressa","Resistant",17.20620743,"All SAs from group A from file group1_T0_20230912_mesh_measure",-0.160966262923338
"76","2023-09-17","TCB ","220","Dark","9:11","9:44",9,31,8,237,2165.55,2181.5,27.27,NA,9H 11M 0S,9H 44M 0S,33,0.55,-15.9499999999998,-10.6499999999998,-2.35883945454541,2023-09-17,"TCB","Montipora capitata","Resistant",21.78168664,"All SAs from group A from file group1_T0_20230912_mesh_measure",-0.108294618939822
"77","2023-09-17","TCB ","237","Dark","11:34","12:06",1,13,9,238,2172.85,2173.55,27.54,NA,11H 34M 0S,12H 6M 0S,32,0.533333333333333,-0.700000000000273,4.59999999999973,1.05511349999994,2023-09-17,"TCB","Porites compressa","Susceptible",18.02522674,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.0585353801768564
