sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date,collection_depth,origin,timepoint,Phenotype,,,,
HB09,HB09_S119_L001_R1_001.fastq.gz,HB09_S119_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,6.1,HB,Sept_2022,,,,,
HB10,HB10_S199_L001_R1_001.fastq.gz,HB10_S199_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,6.1,HB,Sept_2022,,,,,
HB100,HB100_S268_L001_R1_001.fastq.gz,HB100_S268_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,6.1,HB,Sept_2024,,,,,
HB101,HB101_S269_L001_R1_001.fastq.gz,HB101_S269_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,6.1,HB,Sept_2024,,,,,
HB102,HB102_S262_L001_R1_001.fastq.gz,HB102_S262_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,6.1,HB,Sept_2024,,,,,
HB103,HB103_S255_L001_R1_001.fastq.gz,HB103_S255_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,6.1,HB,Sept_2024,,,,,
HB104,HB104_S210_L001_R1_001.fastq.gz,HB104_S210_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,6.1,HB,Sept_2024,,,,,
HB105,HB105_S289_L001_R1_001.fastq.gz,HB105_S289_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,6.1,HB,Sept_2024,,,,,
HB106,HB106_S290_L001_R1_001.fastq.gz,HB106_S290_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,6.1,HB,Sept_2024,,,,,
HB107,HB107_S283_L001_R1_001.fastq.gz,HB107_S283_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,6.1,HB,Sept_2024,,,,,
HB108,HB108_S276_L001_R1_001.fastq.gz,HB108_S276_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,6.1,HB,Sept_2024,,,,,
HB109,HB109_S277_L001_R1_001.fastq.gz,HB109_S277_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,6.1,HB,Sept_2024,,,,,
HB51,HB51_S173_L001_R1_001.fastq.gz,HB51_S173_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,6.1,HB,May_2024,,,,,
HB52,HB52_S174_L001_R1_001.fastq.gz,HB52_S174_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,6.1,HB,May_2024,,,,,
HB53,HB53_S175_L001_R1_001.fastq.gz,HB53_S175_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,6.1,HB,May_2024,,,,,
HB54,HB54_S160_L001_R1_001.fastq.gz,HB54_S160_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,6.1,HB,May_2024,,,,,
HB55,HB55_S161_L001_R1_001.fastq.gz,HB55_S161_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,6.1,HB,May_2024,,,,,
HB56,HB56_S194_L001_R1_001.fastq.gz,HB56_S194_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,6.1,HB,May_2024,,,,,
